"Group","PPH","Direct %","Indirect %","Gap %"
" -> 2026-04-27","113","59.04%","30.33%","6.70%"
" -> 2026-04-27 -> Alana Sledge","103","77.41%","11.57%","8.37%"
" -> 2026-04-27 -> Alana Sledge -> Picker","103","77.29%","11.69%","8.30%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos","89","87.76%","3.44%","8.81%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos -> 2026-04-27","102","91.58%","7.28%","1.15%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos -> 2026-04-30","100","97.37%","0.00%","2.63%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos -> 2026-05-01","97","89.78%","2.08%","8.15%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos -> 2026-05-02","78","86.86%","4.65%","8.49%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Alexis Carlos -> 2026-05-03","83","83.36%","2.46%","14.18%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Amber Cardinal","89","59.90%","27.67%","12.44%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Amber Cardinal -> 2026-04-28","90","81.07%","0.00%","18.93%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Amber Cardinal -> 2026-05-01","89","59.84%","35.82%","4.34%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Amber Cardinal -> 2026-05-02","87","46.32%","42.22%","11.45%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Amber Cardinal -> 2026-05-03","90","62.38%","21.50%","16.11%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Anita Sorenson","30","8.39%","90.67%","0.94%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Anita Sorenson -> 2026-05-01","22","15.52%","82.60%","1.88%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Anita Sorenson -> 2026-05-02","132","1.26%","98.74%","0.00%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant","111","87.99%","4.65%","7.37%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-04-27","108","87.29%","0.00%","12.71%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-04-28","110","95.01%","0.00%","4.99%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-04-29","111","93.35%","0.00%","6.65%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-05-01","118","91.51%","4.04%","4.45%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-05-02","111","89.66%","5.00%","5.34%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Chynna Bryant -> 2026-05-03","110","78.19%","11.86%","9.95%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green","102","86.06%","6.37%","7.57%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green -> 2026-04-27","107","87.93%","7.96%","4.10%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green -> 2026-04-30","95","92.96%","0.00%","7.04%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green -> 2026-05-01","103","86.96%","9.43%","3.61%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green -> 2026-05-02","100","82.96%","9.35%","7.69%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Cian Green -> 2026-05-03","103","83.65%","2.85%","13.50%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Haamed Lewis","101","90.64%","3.54%","5.81%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Haamed Lewis -> 2026-04-29","99","91.20%","0.00%","8.80%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Haamed Lewis -> 2026-04-30","99","92.39%","0.00%","7.61%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Haamed Lewis -> 2026-05-02","100","88.46%","7.47%","4.07%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Haamed Lewis -> 2026-05-03","103","91.66%","3.41%","4.94%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda","136","88.48%","3.43%","8.09%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-04-27","126","94.79%","0.00%","5.21%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-04-28","118","87.69%","3.70%","8.61%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-04-30","152","91.60%","0.00%","8.40%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-05-01","136","86.14%","5.05%","8.82%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-05-02","129","83.26%","7.83%","8.91%"
" -> 2026-04-27 -> Alana Sledge -> Picker -> Isioma Janelle Pineda -> 2026-05-03","154","89.71%","1.84%","8.46%"
